,Sun,Mon,Tues,Wed,Thurs,Friday,Sat
0,68,68,68,68,68,68,68
100,68,68,68,68,68,68,68
200,68,68,68,68,68,68,68
300,68,68,68,68,68,68,68
400,68,68,68,68,68,68,68
500,68,70,70,70,70,70,68
600,68,70,70,70,70,70,68
700,70,70,70,70,70,70,70
800,70,70,70,70,70,70,70
900,70,65,70,65,70,65,70
1000,70,65,70,65,70,65,70
1100,70,65,70,65,70,65,70
1200,70,65,70,65,70,65,70
1300,70,65,70,65,70,65,70
1400,70,65,70,65,70,65,70
1500,70,65,70,65,70,65,70
1600,70,65,70,65,70,65,70
1700,70,65,70,65,70,65,70
1800,70,70,70,70,70,70,70
1900,70,70,70,70,70,70,70
2000,70,70,70,70,70,70,70
2100,70,68,68,68,68,68,70
2200,68,68,68,68,68,68,68
2300,68,68,68,68,68,68,68
2400,68,68,68,68,68,68,68
